permutation,PD_code,Jones_polynomial,Jones_polynomial_span,Alexander_polynomial,Alexander_polynomial_span,Signature,Determinant,coefficients,min_degree,max_degree
"[-1.14598, -0.0745771, -0.617794, -1.26026, -2.18996, -1.03035, -0.687886, 0.234226, 0.620495, 0.198858, -1.19843, 0.402073, 2.1388, -1.41049, -0.826115, 0.399909, -0.0338759, -1.42707, -0.086663, -0.231469, -1.6325, 0.649683, -0.131811, -0.586954, -1.21599]","[[21, 5, 22, 4], [28, 3, 29, 4], [43, 2, 44, 3], [54, 2, 55, 1], [5, 34, 6, 35], [12, 7, 13, 8], [39, 7, 40, 6], [9, 25, 10, 24], [8, 38, 9, 37], [23, 11, 24, 10], [36, 12, 37, 11], [19, 33, 20, 32], [13, 39, 14, 38], [15, 47, 16, 46], [16, 51, 17, 52], [14, 58, 15, 57], [17, 62, 18, 63], [18, 73, 19, 74], [41, 23, 42, 22], [65, 20, 66, 21], [25, 57, 26, 56], [42, 27, 43, 28], [55, 27, 56, 26], [76, 29, 77, 30], [31, 64, 32, 65], [33, 67, 34, 66], [30, 75, 31, 76], [40, 36, 41, 35], [77, 44, 78, 45], [45, 53, 46, 52], [48, 59, 49, 60], [47, 71, 48, 70], [60, 49, 61, 50], [50, 69, 51, 70], [78, 54, 1, 53], [58, 72, 59, 71], [61, 68, 62, 69], [63, 74, 64, 75], [67, 73, 68, 72]]","[[-6, 2], [-5, -10], [-4, 29], [-3, -60], [-2, 95], [-1, -120], [0, 129], [1, -117], [2, 87], [3, -48], [4, 10], [5, 17], [6, -27], [7, 23], [8, -13], [9, 5], [10, -1]]",16,"[[-6, -1], [-5, 4], [-4, -4], [-3, -15], [-2, 69], [-1, -144], [0, 183], [1, -144], [2, 69], [3, -15], [4, -4], [5, 4], [6, -1]]",12,0,621,"[2, -10, 29, -60, 95, -120, 129, -117, 87, -48, 10, 17, -27, 23, -13, 5, -1]",-6,10
"[0.407087, -0.573235, -0.348129, 1.97223, -0.812767, -0.0123659, 0.207003, 0.335788, 1.01671, -0.633088, -0.0735104, 1.37513, -0.830931, -0.83853, -0.377898, 2.02011, 0.464313, 0.845119, 1.61171, -0.885357, -2.19222, -0.956687, 0.593084, 0.850142, 0.222135, -0.33745, -1.2408, 0.339751, 0.0860226]","[[24, 2, 25, 1], [8, 11, 9, 12], [2, 24, 3, 23], [6, 46, 7, 45], [4, 67, 5, 68], [7, 75, 8, 74], [5, 87, 6, 86], [9, 93, 10, 92], [3, 98, 4, 99], [93, 11, 94, 10], [13, 30, 14, 31], [12, 35, 13, 36], [14, 60, 15, 59], [32, 15, 33, 16], [71, 17, 72, 16], [19, 41, 20, 40], [17, 42, 18, 43], [21, 52, 22, 53], [20, 70, 21, 69], [18, 83, 19, 84], [22, 100, 23, 99], [33, 29, 34, 28], [50, 27, 51, 28], [60, 30, 61, 29], [79, 26, 80, 27], [100, 26, 1, 25], [58, 31, 59, 32], [61, 35, 62, 34], [37, 44, 38, 45], [39, 55, 40, 54], [36, 73, 37, 74], [38, 85, 39, 86], [82, 41, 83, 42], [43, 56, 44, 57], [46, 66, 47, 65], [47, 97, 48, 96], [78, 49, 79, 50], [80, 52, 81, 51], [89, 49, 90, 48], [53, 68, 54, 69], [57, 73, 58, 72], [55, 85, 56, 84], [91, 62, 92, 63], [94, 64, 95, 63], [64, 75, 65, 76], [66, 87, 67, 88], [81, 70, 82, 71], [90, 78, 91, 77], [95, 76, 96, 77], [88, 98, 89, 97]]","[[-8, -1], [-7, 6], [-6, -21], [-5, 58], [-4, -130], [-3, 243], [-2, -389], [-1, 542], [0, -668], [1, 736], [2, -727], [3, 645], [4, -508], [5, 353], [6, -212], [7, 107], [8, -44], [9, 14], [10, -3]]",18,"[[-6, -2], [-5, 17], [-4, -78], [-3, 257], [-2, -623], [-1, 1078], [0, -1297], [1, 1078], [2, -623], [3, 257], [4, -78], [5, 17], [6, -2]]",12,2,5407,"[-1, 6, -21, 58, -130, 243, -389, 542, -668, 736, -727, 645, -508, 353, -212, 107, -44, 14, -3]",-8,10
"[-0.946494, 1.32811, 0.125208, -0.428305, -1.75521, -0.76621, 0.959742, 0.616204, 1.95477, -0.0363739, -0.542568, 1.41461, 0.191969, 1.40216, -0.881764, 2.42052, 0.971776, 0.707796, 0.693499, 0.492901, -0.266409, 0.275925, 2.01446]","[[29, 3, 30, 2], [52, 1, 53, 2], [3, 20, 4, 21], [4, 46, 5, 45], [7, 17, 8, 16], [6, 26, 7, 25], [8, 33, 9, 34], [5, 56, 6, 57], [14, 10, 15, 9], [41, 11, 42, 10], [11, 41, 12, 40], [12, 62, 13, 61], [62, 14, 63, 13], [18, 27, 19, 28], [15, 35, 16, 34], [21, 38, 22, 39], [17, 48, 18, 49], [19, 55, 20, 54], [43, 22, 44, 23], [58, 24, 59, 23], [24, 36, 25, 35], [26, 47, 27, 48], [28, 54, 29, 53], [50, 32, 51, 31], [63, 31, 64, 30], [32, 50, 33, 49], [36, 58, 37, 57], [37, 44, 38, 45], [39, 60, 40, 61], [59, 42, 60, 43], [46, 55, 47, 56], [64, 51, 1, 52]]","[[-4, -1], [-3, 4], [-2, -8], [-1, 13], [0, -16], [1, 17], [2, -16], [3, 12], [4, -6], [5, 2], [6, 2], [7, -3], [8, 2], [9, -1]]",13,"[[-4, -1], [-3, 6], [-2, -13], [-1, 16], [0, -15], [1, 16], [2, -13], [3, 6], [4, -1]]",8,2,87,"[-1, 4, -8, 13, -16, 17, -16, 12, -6, 2, 2, -3, 2, -1]",-4,9
"[-1.0295, 0.4997, 1.00246, -0.387815, -0.939582, -1.17629, -1.87915, -0.199663, 0.029124, -0.85501, 1.18695, 0.930544, -0.951772, 0.737708, -1.24089, -0.250695, -0.268794, -0.0682937, -0.785604, -0.0851987, -0.876086, -2.81083, -1.43929, 0.0178545, 1.21672]","[[38, 2, 39, 1], [4, 13, 5, 14], [2, 38, 3, 37], [7, 49, 8, 48], [6, 56, 7, 55], [5, 62, 6, 63], [3, 74, 4, 75], [20, 9, 21, 10], [24, 12, 25, 11], [49, 9, 50, 8], [69, 10, 70, 11], [12, 73, 13, 74], [26, 19, 27, 20], [35, 15, 36, 14], [40, 17, 41, 18], [67, 19, 68, 18], [77, 16, 78, 17], [96, 16, 97, 15], [22, 60, 23, 59], [21, 71, 22, 70], [44, 30, 45, 29], [50, 27, 51, 28], [58, 24, 59, 23], [68, 26, 69, 25], [81, 31, 82, 30], [89, 29, 90, 28], [32, 53, 33, 54], [31, 87, 32, 86], [33, 95, 34, 94], [63, 34, 64, 35], [36, 76, 37, 75], [51, 42, 52, 43], [66, 42, 67, 41], [82, 46, 83, 45], [88, 44, 89, 43], [98, 40, 1, 39], [47, 85, 48, 84], [46, 92, 47, 91], [79, 53, 80, 52], [57, 61, 58, 60], [56, 72, 57, 71], [54, 94, 55, 93], [61, 72, 62, 73], [78, 65, 79, 66], [95, 65, 96, 64], [87, 81, 88, 80], [97, 77, 98, 76], [90, 83, 91, 84], [85, 92, 86, 93]]","[[0, 2], [1, -17], [2, 67], [3, -175], [4, 340], [5, -522], [6, 664], [7, -715], [8, 664], [9, -528], [10, 348], [11, -170], [12, 36], [13, 29], [14, -37], [15, 19], [16, -8], [17, 15], [18, -24], [19, 25], [20, -17], [21, 7], [22, -2]]",22,"[[-8, 3], [-7, -22], [-6, 85], [-5, -200], [-4, 319], [-3, -381], [-2, 397], [-1, -413], [0, 425], [1, -413], [2, 397], [3, -381], [4, 319], [5, -200], [6, 85], [7, -22], [8, 3]]",16,8,4065,"[2, -17, 67, -175, 340, -522, 664, -715, 664, -528, 348, -170, 36, 29, -37, 19, -8, 15, -24, 25, -17, 7, -2]",0,22
"[0.873419, -0.066785, -0.930027, 0.060456, 0.847843, 0.635621, 0.733955, -1.95852, -0.901596, -1.32477, 1.43979, -0.653967, 0.366774, -1.0372, -0.072835, -0.37956, 0.81549, -0.799, -0.691731, -1.88429, 1.27942, -1.57906, 1.46554]","[[8, 4, 9, 3], [23, 5, 24, 4], [34, 2, 35, 1], [41, 3, 42, 2], [52, 6, 53, 5], [7, 23, 8, 22], [6, 52, 7, 51], [37, 10, 38, 11], [62, 10, 63, 9], [14, 21, 15, 22], [13, 32, 14, 33], [12, 39, 13, 40], [11, 45, 12, 44], [15, 50, 16, 51], [25, 16, 26, 17], [27, 19, 28, 18], [48, 19, 49, 20], [54, 17, 55, 18], [20, 57, 21, 58], [53, 25, 54, 24], [46, 29, 47, 30], [55, 26, 56, 27], [59, 30, 60, 31], [61, 29, 62, 28], [31, 58, 32, 59], [33, 41, 34, 40], [43, 37, 44, 36], [64, 36, 1, 35], [38, 46, 39, 45], [63, 43, 64, 42], [56, 50, 57, 49], [60, 47, 61, 48]]","[[-5, -1], [-4, 2], [-3, -2], [-2, -1], [-1, 9], [0, -19], [1, 29], [2, -34], [3, 35], [4, -30], [5, 21], [6, -10], [7, 2], [8, 2], [9, -3], [10, 1]]",15,"[[-5, 1], [-4, -3], [-3, 9], [-2, -22], [-1, 35], [0, -39], [1, 35], [2, -22], [3, 9], [4, -3], [5, 1]]",10,2,179,"[-1, 2, -2, -1, 9, -19, 29, -34, 35, -30, 21, -10, 2, 2, -3, 1]",-5,10
"[0.232534, 0.376046, 1.25172, 1.42069, -1.52264, 0.520923, -0.0155637, 0.0287701, -0.498368, 1.96816, 2.16289, -1.36976, -1.26608, -0.051775, -0.479211, -0.061226, 1.07146, -0.141048, -0.519972, -2.77393, -0.166649, -0.675924, -1.90234, -0.111576, -2.26298]","[[16, 1, 17, 2], [21, 3, 22, 2], [28, 4, 29, 3], [35, 5, 36, 4], [6, 28, 7, 27], [5, 35, 6, 34], [7, 47, 8, 46], [19, 8, 20, 9], [9, 18, 10, 19], [10, 25, 11, 26], [11, 32, 12, 33], [22, 15, 23, 16], [29, 14, 30, 15], [36, 13, 37, 14], [43, 13, 44, 12], [48, 17, 1, 18], [40, 23, 41, 24], [47, 21, 48, 20], [24, 39, 25, 40], [26, 45, 27, 46], [41, 30, 42, 31], [31, 38, 32, 39], [33, 44, 34, 45], [42, 37, 43, 38]]","[[-11, 1], [-10, -3], [-9, 2], [-8, 1], [-7, -6], [-6, 11], [-5, -14], [-4, 16], [-3, -14], [-2, 11], [-1, -6], [0, 2], [1, 1], [2, -1]]",13,"[[-5, 1], [-4, -2], [-3, -2], [-2, 12], [-1, -17], [0, 17], [1, -17], [2, 12], [3, -2], [4, -2], [5, 1]]",10,-4,73,"[1, -3, 2, 1, -6, 11, -14, 16, -14, 11, -6, 2, 1, -1]",-11,2
"[0.650495, -0.21473, -0.138541, 0.859771, 0.0432773, -1.91008, -1.39865, -0.498973, -1.3312, 0.576974, 1.13976, 0.724124, -0.418566, -0.848608, 0.395711, 0.675042, 2.32481, 0.984377, 0.857577, -0.0816936, 0.0279455, -0.650682, 0.261562, -0.912849, 1.14113, 0.17252, -0.0973755]","[[1, 9, 2, 8], [3, 28, 4, 29], [4, 49, 5, 50], [2, 57, 3, 58], [29, 6, 30, 7], [50, 5, 51, 6], [58, 7, 59, 8], [13, 33, 14, 32], [10, 45, 11, 46], [12, 65, 13, 66], [9, 71, 10, 70], [11, 84, 12, 85], [22, 16, 23, 15], [36, 18, 37, 17], [75, 15, 76, 14], [77, 16, 78, 17], [18, 40, 19, 39], [20, 41, 21, 42], [19, 80, 20, 81], [31, 25, 32, 24], [34, 21, 35, 22], [52, 26, 53, 25], [76, 23, 77, 24], [87, 26, 88, 27], [27, 49, 28, 48], [89, 31, 90, 30], [33, 74, 34, 75], [60, 37, 61, 38], [78, 35, 79, 36], [38, 61, 39, 62], [79, 41, 80, 40], [46, 55, 47, 56], [42, 64, 43, 63], [44, 72, 45, 71], [43, 83, 44, 82], [47, 68, 48, 69], [88, 52, 89, 51], [53, 67, 54, 66], [56, 69, 57, 70], [54, 86, 55, 85], [90, 60, 1, 59], [64, 74, 65, 73], [62, 81, 63, 82], [86, 67, 87, 68], [72, 83, 73, 84]]","[[-11, -1], [-10, 5], [-9, -13], [-8, 24], [-7, -36], [-6, 44], [-5, -44], [-4, 37], [-3, -25], [-2, 11], [-1, 2], [0, -9], [1, 11], [2, -8], [3, 4], [4, -1]]",15,"[[-5, 2], [-4, -8], [-3, 7], [-2, 19], [-1, -60], [0, 81], [1, -60], [2, 19], [3, 7], [4, -8], [5, 2]]",10,-4,205,"[-1, 5, -13, 24, -36, 44, -44, 37, -25, 11, 2, -9, 11, -8, 4, -1]",-11,4
"[-0.0462145, 0.680001, -0.000585823, 1.20137, -2.37942, -0.66691, 1.06162, 0.902087, 0.683462, -1.52197, -0.766905, -0.0380729, 0.936354, -0.31379, -0.421503, -0.245304, 0.368357, -0.540101, 1.0699, 0.262062, -0.289126, -0.552065, 0.174362, 0.727618, 0.213657, 0.675889, 0.228188, 1.33647, -1.2637]","[[12, 1, 13, 2], [14, 4, 15, 3], [91, 3, 92, 2], [4, 48, 5, 47], [5, 111, 6, 110], [23, 6, 24, 7], [7, 74, 8, 75], [26, 12, 27, 11], [51, 9, 52, 8], [71, 10, 72, 11], [86, 9, 87, 10], [13, 90, 14, 91], [28, 17, 29, 18], [43, 16, 44, 17], [92, 15, 93, 16], [20, 33, 21, 34], [19, 59, 20, 58], [18, 67, 19, 68], [21, 98, 22, 99], [22, 110, 23, 109], [42, 27, 43, 28], [49, 25, 50, 24], [88, 25, 89, 26], [94, 30, 95, 29], [31, 61, 32, 60], [30, 65, 31, 66], [35, 76, 36, 77], [36, 81, 37, 82], [32, 98, 33, 97], [34, 108, 35, 107], [54, 38, 55, 37], [62, 45, 63, 46], [69, 40, 70, 41], [78, 39, 79, 40], [83, 38, 84, 39], [93, 45, 94, 44], [104, 42, 105, 41], [46, 63, 47, 64], [48, 112, 49, 111], [73, 51, 74, 50], [80, 54, 81, 53], [101, 52, 102, 53], [61, 65, 62, 64], [56, 78, 57, 77], [55, 83, 56, 82], [59, 96, 60, 97], [57, 106, 58, 107], [66, 96, 67, 95], [68, 106, 69, 105], [87, 73, 88, 72], [103, 71, 104, 70], [75, 101, 76, 100], [84, 80, 85, 79], [102, 86, 103, 85], [112, 90, 1, 89], [99, 109, 100, 108]]","[[-9, -3], [-8, 12], [-7, -16], [-6, -15], [-5, 97], [-4, -175], [-3, 135], [-2, 77], [-1, -356], [0, 509], [1, -412], [2, 104], [3, 280], [4, -611], [5, 793], [6, -751], [7, 470], [8, -57], [9, -285], [10, 399], [11, -301], [12, 138], [13, -35], [14, 7], [15, -6], [16, 3], [17, 1], [18, -1]]",27,"[[-10, 1], [-9, -6], [-8, 15], [-7, -16], [-6, -7], [-5, 38], [-4, -32], [-3, 3], [-2, -42], [-1, 162], [0, -231], [1, 162], [2, -42], [3, 3], [4, -32], [5, 38], [6, -7], [7, -16], [8, 15], [9, -6], [10, 1]]",20,2,723,"[-3, 12, -16, -15, 97, -175, 135, 77, -356, 509, -412, 104, 280, -611, 793, -751, 470, -57, -285, 399, -301, 138, -35, 7, -6, 3, 1, -1]",-9,18
"[0.412425, -0.528252, -0.658116, -0.306119, -0.312783, -0.96557, 0.38872, 0.127774, 0.904358, 2.43327, 0.867329, 0.677673, 0.165265, -0.474668, 0.743482, 0.741766, 2.10116, -0.0512945, -0.786224, -0.0941626, 0.121543, 1.17069, -0.379276, 0.728236, -1.79394, -1.74757, 0.253659]","[[1, 10, 2, 11], [5, 16, 6, 17], [3, 40, 4, 41], [4, 50, 5, 49], [2, 60, 3, 59], [15, 6, 16, 7], [8, 40, 9, 39], [7, 50, 8, 51], [9, 60, 10, 61], [18, 14, 19, 13], [27, 14, 28, 15], [34, 12, 35, 11], [55, 12, 56, 13], [17, 28, 18, 29], [25, 20, 26, 21], [64, 20, 65, 19], [22, 38, 23, 37], [21, 52, 22, 53], [36, 24, 37, 23], [53, 24, 54, 25], [26, 64, 27, 63], [30, 42, 31, 41], [32, 46, 33, 45], [29, 48, 30, 49], [31, 58, 32, 59], [44, 34, 45, 33], [66, 36, 1, 35], [38, 62, 39, 61], [47, 42, 48, 43], [56, 44, 57, 43], [46, 58, 47, 57], [51, 62, 52, 63], [65, 54, 66, 55]]","[[-6, 2], [-5, -6], [-4, 10], [-3, -14], [-2, 16], [-1, -15], [0, 13], [1, -8], [2, 3], [3, 1], [4, -2], [5, 2], [6, -1]]",12,"[[-3, -1], [-2, 7], [-1, -19], [0, 27], [1, -19], [2, 7], [3, -1]]",6,0,81,"[2, -6, 10, -14, 16, -15, 13, -8, 3, 1, -2, 2, -1]",-6,6
"[1.67208, -0.953475, 0.0527305, 0.782011, -0.617843, 0.388474, 1.17708, 0.406649, -1.00591, -1.51082, 0.605918, -1.8451, 0.759299, -0.684528, 0.506376, 0.354743, 0.938677, -0.659625, -1.30988, -1.39994, 0.0197724]","[[18, 4, 19, 3], [30, 1, 31, 2], [39, 3, 40, 2], [57, 4, 58, 5], [8, 24, 9, 23], [6, 27, 7, 28], [9, 33, 10, 32], [7, 45, 8, 44], [5, 52, 6, 53], [16, 12, 17, 11], [37, 11, 38, 10], [59, 12, 60, 13], [13, 50, 14, 51], [14, 61, 15, 62], [40, 19, 41, 20], [48, 15, 49, 16], [55, 20, 56, 21], [64, 18, 65, 17], [22, 29, 23, 30], [24, 34, 25, 33], [21, 54, 22, 55], [46, 26, 47, 25], [26, 35, 27, 36], [28, 44, 29, 43], [66, 31, 1, 32], [34, 45, 35, 46], [47, 36, 48, 37], [56, 41, 57, 42], [65, 39, 66, 38], [42, 53, 43, 54], [49, 61, 50, 60], [51, 62, 52, 63], [63, 58, 64, 59]]","[[-13, -1], [-12, 5], [-11, -10], [-10, 11], [-9, -3], [-8, -12], [-7, 26], [-6, -34], [-5, 33], [-4, -24], [-3, 9], [-2, 9], [-1, -22], [0, 26], [1, -20], [2, 10], [3, -2]]",16,"[[-6, 1], [-5, -6], [-4, 14], [-3, -17], [-2, 3], [-1, 28], [0, -45], [1, 28], [2, 3], [3, -17], [4, 14], [5, -6], [6, 1]]",12,-2,19,"[-1, 5, -10, 11, -3, -12, 26, -34, 33, -24, 9, 9, -22, 26, -20, 10, -2]",-13,3
